year,forecast_gw,lower_80,upper_80
2023,272.8928879201109,260.5669830152846,285.8018595280349
2024,295.953678937556,266.89443859663265,328.1768647455776
2025,320.96322020057704,269.9911976881226,381.5583233958743
2026,348.08619068817194,270.2360977439208,448.3634760838611
2027,377.50118556289505,267.9502752641202,531.8417566875838
2028,409.401892156803,263.43120864971854,636.2568435254743
2029,443.9983653339951,256.96644146966497,767.1606739455573
2030,481.5184106275606,248.83731065133463,931.7733709884415
